0 0.985145 0.996743 0.0260588
0 -0.123939 0.0485342 159.453
0.01 0.985141 0.99674 0.0260416
0.01 -0.123454 0.0485349 159.453
0.02 0.985136 0.996737 0.0260245
0.02 -0.122968 0.0485356 159.453
0.03 0.985132 0.996734 0.0260077
0.03 -0.122483 0.0485363 159.453
0.04 0.985127 0.996731 0.025991
0.04 -0.121998 0.048537 159.453
0.05 0.985122 0.996728 0.0259745
0.05 -0.121512 0.0485377 159.453
0.06 0.985118 0.996725 0.0259581
0.06 -0.121027 0.0485383 159.453
0.07 0.985113 0.996722 0.025942
0.07 -0.120541 0.048539 159.453
0.08 0.985108 0.996719 0.025926
0.08 -0.120056 0.0485396 159.453
0.09 0.985104 0.996715 0.0259102
0.09 -0.119571 0.0485403 159.453
0.1 0.985099 0.996712 0.0258945
0.1 -0.119085 0.0485409 159.453
0.11 0.985094 0.996709 0.025879
0.11 -0.1186 0.0485415 159.453
0.12 0.985089 0.996706 0.0258637
0.12 -0.118114 0.0485421 159.453
0.13 0.985084 0.996702 0.0258486
0.13 -0.117629 0.0485427 159.453
0.14 0.98508 0.996699 0.0258336
0.14 -0.117144 0.0485433 159.453
0.15 0.985075 0.996696 0.0258187
0.15 -0.116658 0.0485438 159.453
0.16 0.98507 0.996692 0.025804
0.16 -0.116173 0.0485444 159.453
0.17 0.985065 0.996689 0.0257895
0.17 -0.115687 0.048545 159.453
0.18 0.98506 0.996685 0.0257751
0.18 -0.115202 0.0485455 159.453
0.19 0.985055 0.996682 0.0257609
0.19 -0.114716 0.048546 159.453
0.2 0.985049 0.996678 0.0257469
0.2 -0.114231 0.0485466 159.453
0.21 0.985044 0.996675 0.025733
0.21 -0.113745 0.0485471 159.453
0.22 0.985039 0.996671 0.0257192
0.22 -0.11326 0.0485476 159.453
0.23 0.985034 0.996668 0.0257056
0.23 -0.112774 0.0485481 159.453
0.24 0.985029 0.996664 0.0256921
0.24 -0.112289 0.0485486 159.453
0.25 0.985023 0.99666 0.0256788
0.25 -0.111803 0.0485491 159.453
0.26 0.985018 0.996657 0.0256656
0.26 -0.111318 0.0485495 159.453
0.27 0.985013 0.996653 0.0256526
0.27 -0.110832 0.04855 159.453
0.28 0.985007 0.996649 0.0256397
0.28 -0.110347 0.0485505 159.453
0.29 0.985002 0.996645 0.0256269
0.29 -0.109861 0.0485509 159.453
0.3 0.984997 0.996641 0.0256143
0.3 -0.109376 0.0485514 159.453
0.31 0.984991 0.996638 0.0256018
0.31 -0.10889 0.0485518 159.453
0.32 0.984986 0.996634 0.0255894
0.32 -0.108405 0.0485522 159.453
0.33 0.98498 0.99663 0.0255772
0.33 -0.107919 0.0485526 159.453
0.34 0.984975 0.996626 0.0255651
0.34 -0.107434 0.048553 159.453
0.35 0.984969 0.996622 0.0255532
0.35 -0.106948 0.0485534 159.453
0.36 0.984963 0.996618 0.0255414
0.36 -0.106463 0.0485538 159.453
0.37 0.984958 0.996614 0.0255297
0.37 -0.105977 0.0485542 159.453
0.38 0.984952 0.99661 0.0255181
0.38 -0.105492 0.0485546 159.453
0.39 0.984946 0.996606 0.0255067
0.39 -0.105006 0.0485549 159.453
0.4 0.984941 0.996601 0.0254954
0.4 -0.104521 0.0485553 159.453
0.41 0.984935 0.996597 0.0254842
0.41 -0.104035 0.0485557 159.453
0.42 0.984929 0.996593 0.0254731
0.42 -0.103549 0.048556 159.453
0.43 0.984923 0.996589 0.0254621
0.43 -0.103064 0.0485563 159.453
0.44 0.984917 0.996585 0.0254513
0.44 -0.102578 0.0485567 159.453
0.45 0.984911 0.99658 0.0254406
0.45 -0.102093 0.048557 159.453
0.46 0.984906 0.996576 0.02543
0.46 -0.101607 0.0485573 159.453
0.47 0.9849 0.996572 0.0254196
0.47 -0.101122 0.0485576 159.453
0.48 0.984894 0.996567 0.0254092
0.48 -0.100636 0.0485579 159.453
0.49 0.984888 0.996563 0.025399
0.49 -0.10015 0.0485582 159.453
0.5 0.984882 0.996558 0.0253888
0.5 -0.0996649 0.0485585 159.453
0.51 0.984876 0.996554 0.0253788
0.51 -0.0991793 0.0485588 159.453
0.52 0.984869 0.996549 0.0253689
0.52 -0.0986937 0.048559 159.453
0.53 0.984863 0.996545 0.0253591
0.53 -0.0982081 0.0485593 159.453
0.54 0.984857 0.99654 0.0253494
0.54 -0.0977225 0.0485595 159.453
0.55 0.984851 0.996536 0.0253399
0.55 -0.0972369 0.0485598 159.453
0.56 0.984845 0.996531 0.0253304
0.56 -0.0967513 0.04856 159.453
0.57 0.984839 0.996527 0.025321
0.57 -0.0962657 0.0485603 159.453
0.58 0.984832 0.996522 0.0253118
0.58 -0.0957801 0.0485605 159.453
0.59 0.984826 0.996517 0.0253026
0.59 -0.0952945 0.0485607 159.453
0.6 0.98482 0.996512 0.0252936
0.6 -0.0948089 0.0485609 159.453
0.61 0.984814 0.996508 0.0252846
0.61 -0.0943233 0.0485612 159.453
0.62 0.984807 0.996503 0.0252758
0.62 -0.0938377 0.0485614 159.453
0.63 0.984801 0.996498 0.0252671
0.63 -0.093352 0.0485616 159.453
0.64 0.984794 0.996493 0.0252584
0.64 -0.0928664 0.0485617 159.453
0.65 0.984788 0.996488 0.0252499
0.65 -0.0923808 0.0485619 159.453
0.66 0.984781 0.996483 0.0252414
0.66 -0.0918952 0.0485621 159.453
0.67 0.984775 0.996479 0.0252331
0.67 -0.0914096 0.0485623 159.453
0.68 0.984768 0.996474 0.0252248
0.68 -0.0909239 0.0485624 159.453
0.69 0.984762 0.996469 0.0252167
0.69 -0.0904383 0.0485626 159.453
0.7 0.984755 0.996464 0.0252086
0.7 -0.0899527 0.0485627 159.453
0.71 0.984749 0.996458 0.0252006
0.71 -0.0894671 0.0485629 159.453
0.72 0.984742 0.996453 0.0251928
0.72 -0.0889814 0.048563 159.453
0.73 0.984736 0.996448 0.025185
0.73 -0.0884958 0.0485632 159.453
