0 0.998997 0.999952 0.0393599
0 0 0.0480296 241.777
0.01 0.998998 0.999952 0.0394668
0.01 0 0.0480242 241.777
0.02 0.999 0.999952 0.0395737
0.02 0 0.0480189 241.777
0.03 0.999001 0.999952 0.0396805
0.03 0 0.0480136 241.777
0.04 0.999002 0.999952 0.0397872
0.04 0 0.0480082 241.777
0.05 0.999004 0.999952 0.0398939
0.05 0 0.0480029 241.777
0.06 0.999005 0.999952 0.0400005
0.06 0 0.0479976 241.777
0.07 0.999006 0.999952 0.0401071
0.07 0 0.0479922 241.777
0.08 0.999007 0.999952 0.0402136
0.08 0 0.0479869 241.777
0.09 0.999009 0.999952 0.04032
0.09 0 0.0479816 241.777
0.1 0.99901 0.999952 0.0404264
0.1 0 0.0479763 241.777
0.11 0.999011 0.999952 0.0405327
0.11 0 0.047971 241.777
0.12 0.999012 0.999952 0.0406389
0.12 0 0.0479656 241.777
0.13 0.999014 0.999952 0.0407451
0.13 0 0.0479603 241.777
0.14 0.999015 0.999952 0.0408512
0.14 0 0.047955 241.777
0.15 0.999016 0.999952 0.0409573
0.15 0 0.0479497 241.777
0.16 0.999017 0.999952 0.0410633
0.16 0 0.0479444 241.777
0.17 0.999018 0.999952 0.0411692
0.17 0 0.0479391 241.777
0.18 0.999019 0.999952 0.0412751
0.18 0 0.0479338 241.777
0.19 0.99902 0.999952 0.0413809
0.19 0 0.0479286 241.777
0.2 0.999022 0.999952 0.0414866
0.2 0 0.0479233 241.777
0.21 0.999023 0.999952 0.0415923
0.21 0 0.047918 241.777
0.22 0.999024 0.999952 0.0416979
0.22 0 0.0479127 241.777
0.23 0.999025 0.999952 0.0418035
0.23 0 0.0479074 241.777
0.24 0.999026 0.999952 0.0419089
0.24 0 0.0479022 241.777
0.25 0.999027 0.999952 0.0420143
0.25 0 0.0478969 241.777
0.26 0.999028 0.999952 0.0421197
0.26 0 0.0478916 241.777
0.27 0.999029 0.999952 0.042225
0.27 0 0.0478864 241.777
0.28 0.99903 0.999952 0.0423302
0.28 0 0.0478811 241.777
0.29 0.999031 0.999952 0.0424353
0.29 0 0.0478758 241.777
0.3 0.999032 0.999952 0.0425404
0.3 0 0.0478706 241.777
0.31 0.999033 0.999952 0.0426454
0.31 0 0.0478653 241.777
0.32 0.999034 0.999952 0.0427503
0.32 0 0.0478601 241.777
0.33 0.999035 0.999952 0.0428552
0.33 0 0.0478548 241.777
0.34 0.999036 0.999952 0.04296
0.34 0 0.0478496 241.777
0.35 0.999037 0.999952 0.0430647
0.35 0 0.0478444 241.777
0.36 0.999038 0.999952 0.0431694
0.36 0 0.0478391 241.777
0.37 0.999039 0.999952 0.0432739
0.37 0 0.0478339 241.777
0.38 0.99904 0.999952 0.0433785
0.38 0 0.0478287 241.777
0.39 0.999041 0.999952 0.0434829
0.39 0 0.0478235 241.777
0.4 0.999041 0.999952 0.0435873
0.4 0 0.0478182 241.777
0.41 0.999042 0.999952 0.0436916
0.41 0 0.047813 241.777
0.42 0.999043 0.999952 0.0437958
0.42 0 0.0478078 241.777
0.43 0.999044 0.999952 0.0439
0.43 0 0.0478026 241.777
0.44 0.999045 0.999952 0.0440041
0.44 0 0.0477974 241.777
0.45 0.999046 0.999952 0.0441081
0.45 0 0.0477922 241.777
0.46 0.999047 0.999952 0.0442121
0.46 0 0.047787 241.777
0.47 0.999047 0.999952 0.0443159
0.47 0 0.0477818 241.777
0.48 0.999048 0.999952 0.0444197
0.48 0 0.0477766 241.777
0.49 0.999049 0.999952 0.0445235
0.49 0 0.0477714 241.777
